Match,Match day,Team,Pts,Points
MD,0,Arsenal,37,37
MD,7,Arsenal,3,40
MD,12,Arsenal,0,40
MD,17,Arsenal,3,43
MD,18,Arsenal,3,46
MD,19,Arsenal,1,47
MD,20,Arsenal,3,50
MD,21,Arsenal,3,53
MD,22,Arsenal,0,53
MD,23,Arsenal,1,54
MD,24,Arsenal,3,57
MD,25,Arsenal,3,60
MD,26,Arsenal,3,63
PMD,27,Arsenal,3,66
PMD,28,Arsenal,3,69
PMD,29,Arsenal,3,72
PMD,30,Arsenal,0,72
PMD,31,Arsenal,3,75
PMD,32,Arsenal,3,78
PMD,33,Arsenal,0,78
PMD,34,Arsenal,3,81
PMD,35,Arsenal,3,84
PMD,36,Arsenal,3,87
PMD,37,Arsenal,3,90
PMD,38,Arsenal,3,93
MD,0,Aston Villa,18,18
MD,7,Aston Villa,0,18
MD,17,Aston Villa,0,18
MD,18,Aston Villa,3,21
MD,19,Aston Villa,1,22
MD,20,Aston Villa,3,25
MD,21,Aston Villa,3,28
MD,22,Aston Villa,0,28
MD,23,Aston Villa,0,28
MD,24,Aston Villa,0,28
MD,25,Aston Villa,3,31
MD,26,Aston Villa,3,34
PMD,27,Aston Villa,0,34
PMD,28,Aston Villa,3,37
PMD,29,Aston Villa,0,37
PMD,30,Aston Villa,3,40
PMD,31,Aston Villa,0,40
PMD,32,Aston Villa,0,40
PMD,33,Aston Villa,1,41
PMD,34,Aston Villa,0,41
PMD,35,Aston Villa,1,42
PMD,36,Aston Villa,1,43
PMD,37,Aston Villa,0,43
PMD,38,Aston Villa,1,44
MD,0,Bournemouth,16,16
MD,7,Bournemouth,0,16
MD,17,Bournemouth,0,16
MD,18,Bournemouth,0,16
MD,19,Bournemouth,0,16
MD,20,Bournemouth,0,16
MD,21,Bournemouth,1,17
MD,22,Bournemouth,0,17
MD,23,Bournemouth,1,18
MD,24,Bournemouth,3,21
MD,25,Bournemouth,0,21
MD,26,Bournemouth,0,21
PMD,27,Bournemouth,1,22
PMD,28,Bournemouth,0,22
PMD,29,Bournemouth,0,22
PMD,30,Bournemouth,3,25
PMD,31,Bournemouth,0,25
PMD,32,Bournemouth,3,28
PMD,33,Bournemouth,0,28
PMD,34,Bournemouth,3,31
PMD,35,Bournemouth,1,32
PMD,36,Bournemouth,0,32
PMD,37,Bournemouth,0,32
PMD,38,Bournemouth,0,32
MD,0,Brentford,19,19
MD,7,Brentford,1,20
MD,17,Brentford,1,21
MD,18,Brentford,3,24
MD,19,Brentford,3,27
MD,20,Brentford,3,30
MD,21,Brentford,1,31
MD,22,Brentford,3,34
MD,23,Brentford,1,35
MD,24,Brentford,1,36
MD,25,Brentford,0,36
MD,26,Brentford,3,39
PMD,27,Brentford,1,40
